t,equity,gate_mult,size_dampener,rolling_sharpe,signal_health,halted
2026-04-19 00:00:00+00:00,15602.417466984343,1.0,1.0,10.72227900227394,1.0,False
2026-04-20 00:00:00+00:00,15602.417466984343,1.0,1.0,10.72227900227394,1.0,False
2026-04-21 00:00:00+00:00,15602.417466984343,1.0,1.0,10.72227900227394,1.0,False
2026-04-22 00:00:00+00:00,15538.19209365046,1.0,1.0,9.713601977777007,1.0,False
2026-04-23 00:00:00+00:00,16515.482952415106,1.0,1.0,16.68337315099586,1.0,False
2026-04-24 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-25 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-26 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-27 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-28 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-29 00:00:00+00:00,16816.598894704184,1.0,1.0,17.130997188402553,1.0,False
2026-04-30 00:00:00+00:00,17147.866650279608,1.0,1.0,16.864831338661094,1.0,False
2026-05-01 00:00:00+00:00,17084.127126905383,1.0,1.0,15.701090755300507,1.0,False
2026-05-02 00:00:00+00:00,17343.61971993785,1.0,1.0,14.892184359495742,1.0,False
2026-05-03 00:00:00+00:00,17343.61971993785,1.0,1.0,14.892184359495742,1.0,False
2026-05-04 00:00:00+00:00,17343.61971993785,1.0,1.0,14.892184359495742,1.0,False
2026-05-05 00:00:00+00:00,17343.61971993785,1.0,1.0,14.892184359495742,1.0,False
2026-05-06 00:00:00+00:00,17343.61971993785,1.0,1.0,14.892184359495742,1.0,False
2026-05-07 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-08 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-09 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-10 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-11 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-12 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-13 00:00:00+00:00,17652.83441114755,1.0,1.0,16.292754418365444,1.0,False
2026-05-14 00:00:00+00:00,17981.221143976054,1.0,1.0,16.89868433519442,1.0,False
2026-05-15 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-16 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-17 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-18 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-19 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-20 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-21 00:00:00+00:00,18959.858705206832,1.0,1.0,17.79750580887611,1.0,False
2026-05-22 00:00:00+00:00,19021.89923314559,1.0,1.0,18.355661270097738,1.0,False
2026-05-23 00:00:00+00:00,19021.89923314559,1.0,1.0,18.355661270097738,1.0,False
2026-05-24 00:00:00+00:00,19021.89923314559,1.0,1.0,18.355661270097738,1.0,False
2026-05-25 00:00:00+00:00,19021.89923314559,1.0,1.0,18.355661270097738,1.0,False
2026-05-26 00:00:00+00:00,19021.89923314559,1.0,1.0,18.355661270097738,1.0,False
2026-05-27 00:00:00+00:00,19166.725522636978,1.0,1.0,17.740949543677207,1.0,False
2026-05-28 00:00:00+00:00,19268.400155339416,1.0,1.0,18.757413010729653,1.0,False
2026-05-29 00:00:00+00:00,20226.31000318411,1.0,1.0,21.337639474588805,1.0,False
2026-05-30 00:00:00+00:00,20347.62322634465,1.0,1.0,20.988403579170033,1.0,False
2026-05-31 00:00:00+00:00,20347.62322634465,1.0,1.0,20.988403579170033,1.0,False
2026-06-01 00:00:00+00:00,20347.62322634465,1.0,1.0,20.988403579170033,1.0,False
