t,expiry,raw,alpha,spot,fund,tt,spot_at_expiry,real_pct
2026-04-09 10:00:00+00:00,2026-04-10 12:00:00+00:00,-0.2346811451248968,-0.24734076762035997,71454.47274887,-0.04265049,26.0,72091.88185422,0.8920492739344741
2026-04-09 11:00:00+00:00,2026-04-10 12:00:00+00:00,-0.17024613554450313,-0.1825569018187841,71280.88650698,-0.04313427,24.999999999999996,72091.88185422,1.1377458768846735
2026-04-09 12:00:00+00:00,2026-04-10 12:00:00+00:00,0.2134347759862619,0.20227579725416706,71146.56851411,-0.040728,24.0,72091.88185422,1.328684376285173
2026-04-09 13:00:00+00:00,2026-04-10 12:00:00+00:00,-0.5668744680451455,-0.5774436604490404,71215.13195102,-0.04025271,23.0,72091.88185422,1.2311286649065145
2026-04-09 14:00:00+00:00,2026-04-10 12:00:00+00:00,0.5251705385271145,0.5128446405945704,70760.55209175,-0.04907646,22.0,72091.88185422,1.8814575679734225
2026-04-09 15:00:00+00:00,2026-04-10 12:00:00+00:00,1.4489200963461084,1.4390253345865553,71123.59044324,-0.04127325,21.0,72091.88185422,1.3614208801125507
2026-04-09 16:00:00+00:00,2026-04-10 12:00:00+00:00,-0.3225267737403077,-0.332556039194594,72320.98979876,-0.04392598,20.0,72091.88185422,-0.31679315393430046
2026-04-09 17:00:00+00:00,2026-04-10 12:00:00+00:00,0.2950458051022662,0.2846006711658316,72145.06173244,-0.04815505,19.0,72091.88185422,-0.07371243012753417
2026-04-09 18:00:00+00:00,2026-04-10 12:00:00+00:00,-0.4702343564653081,-0.4775596199551101,72234.48476272,-0.03564831,17.999999999999996,72091.88185422,-0.19741666181801507
2026-04-09 19:00:00+00:00,2026-04-10 12:00:00+00:00,0.38830140122595436,0.3816162635111694,71825.55892393,-0.03444697,17.0,72091.88185422,0.3707913092219176
2026-04-09 20:00:00+00:00,2026-04-10 12:00:00+00:00,0.430986096330544,0.423445684201874,72109.31252795,-0.0412822,16.0,72091.88185422,-0.024172569559910713
2026-04-09 21:00:00+00:00,2026-04-10 12:00:00+00:00,-0.09830322830816698,-0.10656563811958994,72343.66079215,-0.04825048,15.0,72091.88185422,-0.3480317904472348
2026-04-09 22:00:00+00:00,2026-04-10 12:00:00+00:00,-0.4394123041590874,-0.444009063688131,72267.84546184,-0.02876192,14.0,72091.88185422,-0.2434881052499508
2026-04-09 23:00:00+00:00,2026-04-10 12:00:00+00:00,-0.15711787362215834,-0.1629611584906511,71905.082939,-0.0393736,13.0,72091.88185422,0.2597854109680558
2026-04-10 00:00:00+00:00,2026-04-10 12:00:00+00:00,0.2896404856320619,0.28460931249744575,71763.50104386,-0.03672664,12.0,72091.88185422,0.4575875000291644
2026-04-10 01:00:00+00:00,2026-04-10 12:00:00+00:00,0.34302872222226677,0.3371739151045169,71917.31616869,-0.04662419,11.0,72091.88185422,0.24273109013209127
2026-04-10 02:00:00+00:00,2026-04-10 12:00:00+00:00,-0.24273652452156302,-0.24724670271105814,72143.25762683,-0.03950827,10.0,72091.88185422,-0.07121354690655743
2026-04-10 03:00:00+00:00,2026-04-10 12:00:00+00:00,-0.04822629877242316,-0.05257051230871785,71911.35051366,-0.04228276,8.999999999999998,72091.88185422,0.2510470729175218
2026-04-10 04:00:00+00:00,2026-04-10 12:00:00+00:00,0.34749128314944694,0.3440051054887167,71877.22697567,-0.03817298,8.0,72091.88185422,0.29864101271278143
2026-04-10 05:00:00+00:00,2026-04-10 12:00:00+00:00,0.055651574384626715,0.05254255276787008,72090.96366747,-0.03890658,7.0,72091.88185422,0.0012736502652902664
2026-04-10 06:00:00+00:00,2026-04-10 12:00:00+00:00,-0.4060638725460375,-0.40852678438206697,72103.05678371,-0.03595807,6.0,72091.88185422,-0.015498551640486769
2026-04-10 07:00:00+00:00,2026-04-10 12:00:00+00:00,-0.44670088681814923,-0.44800693301810235,71811.139173,-0.02288178,5.0,72091.88185422,0.39094586780424534
2026-04-10 08:00:00+00:00,2026-04-10 12:00:00+00:00,0.1875334302480387,0.18555192979465587,71474.23800264,-0.04339443,4.0,72091.88185422,0.8641489141264896
2026-04-10 09:00:00+00:00,2026-04-10 12:00:00+00:00,0.2703456211918381,0.2690807025753674,71583.24171364,-0.03693539,3.0,72091.88185422,0.7105575668321246
2026-04-10 10:00:00+00:00,2026-04-10 12:00:00+00:00,0.21779517008261043,0.21677080867167656,71750.93151089,-0.0448668,2.0,72091.88185422,0.4751859469284383
2026-04-10 11:00:00+00:00,2026-04-10 12:00:00+00:00,0.41764947849636785,0.4171427868017262,71885.1007287,-0.04438608,1.0,72091.88185422,0.28765505427948823
2026-04-14 12:00:00+00:00,2026-04-17 12:00:00+00:00,0.21211662225945174,0.17060009694559247,74331.42849698,-0.05050129,71.99999999999999,75558.91890017,1.6513746984424826
2026-04-14 13:00:00+00:00,2026-04-17 12:00:00+00:00,1.4849913432013784,1.4342628159077497,74450.00400518,-0.06257313,71.0,75558.91890017,1.489475937318744
2026-04-14 14:00:00+00:00,2026-04-17 12:00:00+00:00,-0.5055551589429419,-0.5427827248098089,75425.20184094,-0.04657897,70.0,75558.91890017,0.1772843240273772
2026-04-14 15:00:00+00:00,2026-04-17 12:00:00+00:00,0.6069487317136418,0.5604980244520201,74897.78262433,-0.05895851,69.0,75558.91890017,0.8827180894741752
2026-04-14 16:00:00+00:00,2026-04-17 12:00:00+00:00,-0.8401644285058161,-0.8844466315497342,75313.01257485,-0.05703327,68.0,75558.91890017,0.3265124005969163
2026-04-14 17:00:00+00:00,2026-04-17 12:00:00+00:00,0.23130688860363585,0.1893466343260985,74601.6630943,-0.05484996,67.0,75558.91890017,1.283156120340076
2026-04-14 18:00:00+00:00,2026-04-17 12:00:00+00:00,-0.8241965608584718,-0.8570645063898775,74737.05572957,-0.04361756,66.0,75558.91890017,1.09967293008417
2026-04-14 19:00:00+00:00,2026-04-17 12:00:00+00:00,0.19550139653715315,0.14638182940662647,74107.21510241,-0.06618181,65.0,75558.91890017,1.95892369690841
2026-04-14 20:00:00+00:00,2026-04-17 12:00:00+00:00,-0.08748861380438552,-0.12728462894840553,74193.53728719,-0.05445996,64.0,75558.91890017,1.8402972319473683
2026-04-14 21:00:00+00:00,2026-04-17 12:00:00+00:00,0.30727805649099227,0.27433646207603246,74072.8041417,-0.04579696,63.0,75558.91890017,2.00628931993324
2026-04-14 22:00:00+00:00,2026-04-17 12:00:00+00:00,-0.18536626344452015,-0.21371963362276042,74188.75149369,-0.04005489,62.0,75558.91890017,1.8468667808711405
2026-04-14 23:00:00+00:00,2026-04-17 12:00:00+00:00,0.22110119571445486,0.19263371584328529,74003.76918645,-0.04087535,61.00000000000001,75558.91890017,2.1014466301059054
2026-04-15 00:00:00+00:00,2026-04-17 12:00:00+00:00,0.5235699900632269,0.48501279841426165,74204.77208273,-0.05628265,60.0,75558.91890017,1.8248783460048503
2026-04-15 01:00:00+00:00,2026-04-17 12:00:00+00:00,0.21961480156917695,0.1830893889427292,74471.70738102,-0.05422105,59.0,75558.91890017,1.4598987419309444
2026-04-15 02:00:00+00:00,2026-04-17 12:00:00+00:00,-0.3482031404607431,-0.3804952450194624,74606.24026574,-0.04876434,58.0,75558.91890017,1.2769422920075573
2026-04-15 03:00:00+00:00,2026-04-17 12:00:00+00:00,0.11244317641195645,0.0788432555053786,74281.84555103,-0.0516291,57.0,75558.91890017,1.7192267365821992
2026-04-15 04:00:00+00:00,2026-04-17 12:00:00+00:00,0.07964085555136802,0.045122936931326026,74312.9974876,-0.05398657,56.0,75558.91890017,1.676586135255668
2026-04-15 05:00:00+00:00,2026-04-17 12:00:00+00:00,-0.39591229030014174,-0.4244987201903476,74336.24940309,-0.04552388,55.0,75558.91890017,1.6447823328428215
2026-04-15 06:00:00+00:00,2026-04-17 12:00:00+00:00,-0.10066015765341688,-0.12927111350551113,73987.75088991,-0.04640669,54.0,75558.91890017,2.1235515221942762
2026-04-15 07:00:00+00:00,2026-04-17 12:00:00+00:00,-0.16948416481481945,-0.19013098787297153,73885.04368937,-0.03412217,53.0,75558.91890017,2.265512920094312
2026-04-15 08:00:00+00:00,2026-04-17 12:00:00+00:00,0.6641283530850698,0.6400641558384442,73647.69501376,-0.04053404,52.0,75558.91890017,2.5950898884926517
2026-04-15 09:00:00+00:00,2026-04-17 12:00:00+00:00,-0.1509497231959646,-0.17665458112305835,74144.28937687,-0.0441462,51.0,75558.91890017,1.9079413063217046
2026-04-15 10:00:00+00:00,2026-04-17 12:00:00+00:00,-0.10127727788763836,-0.12775983640961347,73957.10647268,-0.0463913,49.99999999999999,75558.91890017,2.1658668164386863
2026-04-15 11:00:00+00:00,2026-04-17 12:00:00+00:00,0.4921215013355743,0.46580247661570373,73857.41506591,-0.04704578,49.0,75558.91890017,2.303768460812754
2026-04-15 12:00:00+00:00,2026-04-17 12:00:00+00:00,0.23319338556781355,0.20675639024011558,74116.75761264,-0.04824114,48.0,75558.91890017,1.9457965161768713
2026-04-15 13:00:00+00:00,2026-04-17 12:00:00+00:00,-0.2105598987088618,-0.23311233853539706,74233.25588037,-0.04202917,47.0,75558.91890017,1.7858074579624628
2026-04-15 14:00:00+00:00,2026-04-17 12:00:00+00:00,0.32250572676693556,0.29600773424885596,73932.39149589,-0.05045471,46.0,75558.91890017,2.200020006617021
2026-04-15 15:00:00+00:00,2026-04-17 12:00:00+00:00,-0.3305577623193357,-0.3519589955497132,74099.85249821,-0.04165661,45.0,75558.91890017,1.969054394535049
2026-04-15 16:00:00+00:00,2026-04-17 12:00:00+00:00,0.26477522442604207,0.2404001066883068,73762.53038152,-0.04852273,44.0,75558.91890017,2.4353672648681983
2026-04-15 17:00:00+00:00,2026-04-17 12:00:00+00:00,0.25536896762949907,0.233990729956021,73963.74039622,-0.04354729,43.0,75558.91890017,2.156703400077802
2026-04-15 18:00:00+00:00,2026-04-17 12:00:00+00:00,0.46461081575225555,0.44277342763213484,74063.32689928,-0.04554158,42.0,75558.91890017,2.0193421812172723
2026-04-15 19:00:00+00:00,2026-04-17 12:00:00+00:00,0.8721177018999888,0.8452817125371959,74353.36863445,-0.05732969,41.0,75558.91890017,1.6213794853693186
2026-04-15 20:00:00+00:00,2026-04-17 12:00:00+00:00,-0.01781692526480228,-0.0424413035991987,74870.01355035,-0.05392075,40.0,75558.91890017,0.920135201200018
2026-04-15 21:00:00+00:00,2026-04-17 12:00:00+00:00,-0.07166687667568192,-0.08954517533797748,74810.90139119,-0.04015382,39.0,75558.91890017,0.9998776850295944
2026-04-15 22:00:00+00:00,2026-04-17 12:00:00+00:00,0.3404883675646714,0.3256010154444343,74725.69528287,-0.03431671,38.0,75558.91890017,1.1150429770454142
2026-04-15 23:00:00+00:00,2026-04-17 12:00:00+00:00,0.02679010348660995,0.009824096842552395,74808.83711412,-0.04016476,37.0,75558.91890017,1.0026646783798479
2026-04-16 00:00:00+00:00,2026-04-17 12:00:00+00:00,0.0597475265187446,0.04442836969409687,74782.1589501,-0.03727376,35.99999999999999,75558.91890017,1.0386968776714662
2026-04-16 01:00:00+00:00,2026-04-17 12:00:00+00:00,-0.0319283178351732,-0.049642347771408274,74695.04918207,-0.04433176,35.0,75558.91890017,1.1565287493074818
2026-04-16 02:00:00+00:00,2026-04-17 12:00:00+00:00,0.3583783665748685,0.3418541153978103,74633.78463,-0.04257073,34.0,75558.91890017,1.2395649969466183
2026-04-16 03:00:00+00:00,2026-04-17 12:00:00+00:00,0.032925363124786666,0.013307270878041684,74877.10166342,-0.05207201,33.0,75558.91890017,0.9105817687960597
2026-04-16 04:00:00+00:00,2026-04-17 12:00:00+00:00,0.15161854439710845,0.1353528636878319,74841.69263148,-0.04452368,32.0,75558.91890017,0.9583244892945222
2026-04-16 05:00:00+00:00,2026-04-17 12:00:00+00:00,0.2524774466237627,0.2361356682357782,74866.18108178,-0.04617493,31.0,75558.91890017,0.9253013956105074
