symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
P-ETH-2050-220526,134593.0,expired,2026-05-22T12:00:00Z,2050,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.037051912513649955
C-ETH-2150-220526,134431.0,expired,2026-05-22T12:00:00Z,2150,call_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.009921164924708585
P-ETH-2150-220526,134430.0,expired,2026-05-22T12:00:00Z,2150,put_options,2026-05-22 12:00:00+00:00,ETH,settled,,,,,,2128.87903994,0.009921164924708585
C-ETH-2160-150526,134415.0,expired,2026-05-15T12:00:00Z,2160,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.04299946803727141
P-ETH-2160-150526,134414.0,expired,2026-05-15T12:00:00Z,2160,put_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.04299946803727141
C-ETH-2180-150526,134295.0,expired,2026-05-15T12:00:00Z,2180,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.03413835200057948
P-ETH-2180-150526,134294.0,expired,2026-05-15T12:00:00Z,2180,put_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.03413835200057948
C-ETH-2220-150526,134291.0,expired,2026-05-15T12:00:00Z,2220,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.016416119927195615
C-ETH-2240-150526,134290.0,expired,2026-05-15T12:00:00Z,2240,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.007555003890503684
C-ETH-2260-150526,134289.0,expired,2026-05-15T12:00:00Z,2260,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.0013061121461882472
C-ETH-2280-150526,134288.0,expired,2026-05-15T12:00:00Z,2280,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.010167228182880178
C-ETH-2320-150526,134287.0,expired,2026-05-15T12:00:00Z,2320,call_options,2026-05-15 12:00:00+00:00,ETH,settled,,,,,,2257.05203692,0.027889460256264043
