symbol,id,state,settlement_time,strike_price,contract_type,settlement_dt,underlying_asset_symbol,source,product_id,mark_price,spot_price,oi,oi_value_usd,spot_ref,moneyness_dev
P-ETH-2920-311225,114568.0,expired,2025-12-31T12:00:00Z,2920,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.026558235205888278
P-ETH-2940-311225,114567.0,expired,2025-12-31T12:00:00Z,2940,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.019890825857983404
P-ETH-2960-311225,114566.0,expired,2025-12-31T12:00:00Z,2960,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.01322341651007853
P-ETH-2980-311225,114565.0,expired,2025-12-31T12:00:00Z,2980,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.006556007162173655
P-ETH-3000-311225,114564.0,expired,2025-12-31T12:00:00Z,3000,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.00011140218573122048
P-ETH-3020-311225,114563.0,expired,2025-12-31T12:00:00Z,3020,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.006778811533636095
P-ETH-3040-311225,114562.0,expired,2025-12-31T12:00:00Z,3040,put_options,2025-12-31 12:00:00+00:00,ETH,settled,,,,,,2999.66583067,0.01344622088154097
C-ETH-3400-160126,114321.0,expired,2026-01-16T12:00:00Z,3400,call_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.030123515619434525
C-ETH-3300-160126,114320.0,expired,2026-01-16T12:00:00Z,3300,call_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.0001742348399606085
C-ETH-3200-160126,114319.0,expired,2026-01-16T12:00:00Z,3200,call_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.03047198529935574
P-ETH-3400-160126,114312.0,expired,2026-01-16T12:00:00Z,3400,put_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.030123515619434525
P-ETH-3300-160126,114311.0,expired,2026-01-16T12:00:00Z,3300,put_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.0001742348399606085
P-ETH-3200-160126,114310.0,expired,2026-01-16T12:00:00Z,3200,put_options,2026-01-16 12:00:00+00:00,ETH,settled,,,,,,3300.57507517,0.03047198529935574
C-ETH-3080-261225,114189.0,expired,2025-12-26T12:00:00Z,3080,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03805775034528601
P-ETH-3080-261225,114188.0,expired,2025-12-26T12:00:00Z,3080,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03805775034528601
C-ETH-2820-261225,114147.0,expired,2025-12-26T12:00:00Z,2820,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.049570501307238134
P-ETH-2820-261225,114146.0,expired,2025-12-26T12:00:00Z,2820,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.049570501307238134
C-ETH-2840-261225,114079.0,expired,2025-12-26T12:00:00Z,2840,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.04282986656473628
C-ETH-2860-261225,114078.0,expired,2025-12-26T12:00:00Z,2860,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03608923182223442
P-ETH-2840-261225,114077.0,expired,2025-12-26T12:00:00Z,2840,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.04282986656473628
P-ETH-2860-261225,114076.0,expired,2025-12-26T12:00:00Z,2860,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03608923182223442
C-ETH-2880-261225,113930.0,expired,2025-12-26T12:00:00Z,2880,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.029348597079732565
C-ETH-3040-261225,113929.0,expired,2025-12-26T12:00:00Z,3040,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.024576480860282295
C-ETH-3060-261225,113928.0,expired,2025-12-26T12:00:00Z,3060,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03131711560278415
P-ETH-2880-261225,113927.0,expired,2025-12-26T12:00:00Z,2880,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.029348597079732565
P-ETH-3040-261225,113926.0,expired,2025-12-26T12:00:00Z,3040,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.024576480860282295
P-ETH-3060-261225,113925.0,expired,2025-12-26T12:00:00Z,3060,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.03131711560278415
C-ETH-2920-261225,113924.0,expired,2025-12-26T12:00:00Z,2920,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.01586732759472885
C-ETH-2940-261225,113923.0,expired,2025-12-26T12:00:00Z,2940,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.009126692852226993
C-ETH-2960-261225,113922.0,expired,2025-12-26T12:00:00Z,2960,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.002386058109725136
C-ETH-2980-261225,113921.0,expired,2025-12-26T12:00:00Z,2980,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.004354576632776721
C-ETH-3020-261225,113920.0,expired,2025-12-26T12:00:00Z,3020,call_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.017835846117780437
P-ETH-2920-261225,113919.0,expired,2025-12-26T12:00:00Z,2920,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.01586732759472885
P-ETH-2940-261225,113918.0,expired,2025-12-26T12:00:00Z,2940,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.009126692852226993
P-ETH-2960-261225,113917.0,expired,2025-12-26T12:00:00Z,2960,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.002386058109725136
P-ETH-2980-261225,113916.0,expired,2025-12-26T12:00:00Z,2980,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.004354576632776721
P-ETH-3020-261225,113915.0,expired,2025-12-26T12:00:00Z,3020,put_options,2025-12-26 12:00:00+00:00,ETH,settled,,,,,,2967.0796244,0.017835846117780437
C-ETH-3150-090126,113622.0,expired,2026-01-09T12:00:00Z,3150,call_options,2026-01-09 12:00:00+00:00,ETH,settled,,,,,,3090.29948337,0.01931868317335253
P-ETH-3150-090126,113621.0,expired,2026-01-09T12:00:00Z,3150,put_options,2026-01-09 12:00:00+00:00,ETH,settled,,,,,,3090.29948337,0.01931868317335253
C-ETH-3200-090126,113459.0,expired,2026-01-09T12:00:00Z,3200,call_options,2026-01-09 12:00:00+00:00,ETH,settled,,,,,,3090.29948337,0.03549834481102479
P-ETH-3200-090126,113450.0,expired,2026-01-09T12:00:00Z,3200,put_options,2026-01-09 12:00:00+00:00,ETH,settled,,,,,,3090.29948337,0.03549834481102479
