strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,gross_pnl,cost,pnl
q5_straddle_mom3,2026-05-14,2026-05-14 09:55:06,23400,CE,246.5,236.5,269.0,-0.25,23467.9,1,2.3000000000000114,2026-05-14 10:35:06,269.0,TP,1462.5,85.94,1376.56
q5_pcr_mom3,2026-05-14,2026-05-14 10:45:06,23450,CE,218.7,208.7,241.2,0.03442171006915806,23491.15,1,0.07375873911874886,2026-05-14 10:50:06,208.7,SL,-650.0,78.44,-728.44
q5_straddle_mom3,2026-05-14,2026-05-14 10:50:06,23400,CE,215.25,205.25,237.75,-0.25,23429.4,1,9.5,2026-05-14 11:20:06,237.75,TP,1462.5,81.37,1381.13
q5_pcr_mom3,2026-05-14,2026-05-14 12:10:06,23600,CE,227.45,217.45,249.95,0.03442171006915806,23652.7,1,0.12796711850549425,2026-05-14 12:25:06,249.95,TP,1462.5,83.15,1379.35
q5_pcr_mom3,2026-05-14,2026-05-14 12:35:06,23650,CE,217.65,207.65,240.15,0.03442171006915806,23683.15,1,0.059732935134742204,2026-05-14 13:05:06,240.15,TP,1462.5,81.72,1380.78
q5_pcr_mom3,2026-05-14,2026-05-14 13:15:06,23650,CE,232.0,222.0,254.5,0.03442171006915806,23714.55,1,0.09685657104380452,2026-05-14 13:45:06,254.5,TP,1462.5,83.82,1378.68
q5_straddle_mom3,2026-05-15,2026-05-15 09:25:11,23700,CE,221.6,211.6,244.1,-0.44999999999998863,23768.85,1,7.099999999999909,2026-05-15 09:35:11,211.6,SL,-650.0,78.86,-728.86
q5_pcr_mom3,2026-05-15,2026-05-15 09:30:11,23750,CE,192.2,182.2,214.7,0.03980038810291653,23784.6,1,0.10442473071261271,2026-05-15 09:35:11,182.2,SL,-650.0,74.56,-724.56
q5_straddle_mom3,2026-05-15,2026-05-15 09:35:11,23700,CE,203.7,193.7,226.2,-0.44999999999998863,23743.7,1,4.199999999999932,2026-05-15 09:45:11,226.2,TP,1462.5,79.68,1382.82
q5_pcr_mom3,2026-05-15,2026-05-15 10:00:11,23750,CE,209.15,199.15,231.65,0.03980038810291653,23813.65,1,0.19006601774764542,2026-05-15 10:10:11,199.15,SL,-650.0,77.04,-727.04
q5_straddle_mom3,2026-05-15,2026-05-15 10:10:11,23750,CE,194.95,184.95,217.45,-0.44999999999998863,23789.6,1,1.6499999999999773,2026-05-15 11:05:11,184.95,SL,-650.0,74.97,-724.97
q5_straddle_mom3,2026-05-15,2026-05-15 11:05:11,23750,CE,183.05,173.05,205.55,-0.44999999999998863,23780.2,1,2.75,2026-05-15 11:10:11,173.05,SL,-650.0,73.22,-723.22
q5_pcr_mom3,2026-05-15,2026-05-15 11:10:11,23700,CE,180.05,170.05,202.55,0.03980038810291653,23735.65,1,0.12379706473578045,2026-05-15 11:30:11,170.05,SL,-650.0,72.79,-722.79
q5_straddle_mom3,2026-05-18,2026-05-18 09:30:05,23300,CE,183.0,173.0,205.5,-0.29999999999999716,23373.45,1,5.149999999999977,2026-05-18 09:40:05,173.0,SL,-650.0,73.22,-723.22
q5_pcr_mom3,2026-05-18,2026-05-18 10:15:05,23300,CE,164.1,154.1,186.6,0.03980038810291653,23360.6,1,0.10185326839474618,2026-05-18 10:35:05,186.6,TP,1462.5,73.89,1388.61
q5_pcr_mom3,2026-05-18,2026-05-18 10:50:05,23350,CE,150.65,140.65,173.15,0.03980038810291653,23411.25,1,0.1972790028475686,2026-05-18 11:00:05,173.15,TP,1462.5,71.92,1390.58
q5_straddle_mom3,2026-05-18,2026-05-18 11:30:05,23450,CE,141.45,131.45,163.95,-0.29999999999999716,23495.25,1,3.5,2026-05-18 11:35:05,163.95,TP,1462.5,70.57,1391.93
q5_pcr_mom3,2026-05-18,2026-05-18 11:50:05,23450,CE,148.2,138.2,170.7,0.03980038810291653,23507.95,1,0.3815367618235008,2026-05-18 12:00:05,138.2,SL,-650.0,68.13,-718.13
q5_pcr_mom3,2026-05-18,2026-05-18 12:00:05,23400,CE,154.0,144.0,176.5,0.03980038810291653,23472.95,1,0.3509741314845882,2026-05-18 12:15:05,176.5,TP,1462.5,72.41,1390.09
q5_straddle_mom3,2026-05-18,2026-05-18 12:15:05,23500,CE,135.55,125.55,158.05,-0.29999999999999716,23528.0,1,7.199999999999989,2026-05-18 12:35:05,158.05,TP,1462.5,69.71,1392.79
q5_straddle_mom3,2026-05-18,2026-05-18 13:15:05,23550,CE,156.35,146.35,178.85,-0.29999999999999716,23614.4,1,1.8000000000000114,2026-05-18 13:40:05,146.35,SL,-650.0,69.32,-719.32
q5_pcr_mom3,2026-05-19,2026-05-19 09:30:10,23700,CE,99.95,89.95,122.45,0.04798586982470576,23761.55,1,0.09400398110401653,2026-05-19 09:35:09,89.95,SL,-650.0,61.07,-711.07
q5_straddle_mom3,2026-05-19,2026-05-19 09:35:09,23650,CE,82.15,72.15,104.65,0.04999999999998295,23680.15,1,4.0,2026-05-19 09:45:09,104.65,TP,1462.5,61.9,1400.6
q5_pcr_mom3,2026-05-19,2026-05-19 09:55:10,23650,CE,85.3,75.3,107.8,0.04798586982470576,23692.55,1,0.1018506616626863,2026-05-19 10:15:09,107.8,TP,1462.5,62.36,1400.14
q5_pcr_mom3,2026-05-19,2026-05-19 10:15:09,23700,CE,90.1,80.1,112.6,0.04798586982470576,23755.55,1,0.08178009476337433,2026-05-19 10:20:09,80.1,SL,-650.0,59.63,-709.63
q5_pcr_mom3,2026-05-19,2026-05-19 10:20:09,23700,CE,71.5,61.5,94.0,0.04798586982470576,23728.5,1,0.13442467936605884,2026-05-19 11:00:10,94.0,TP,1462.5,60.34,1402.16
q5_straddle_mom3,2026-05-19,2026-05-19 11:15:09,23650,CE,89.3,79.3,111.8,0.04999999999998295,23717.25,1,6.199999999999989,2026-05-19 11:45:09,111.8,TP,1462.5,62.94,1399.56
q5_straddle_mom3,2026-05-19,2026-05-19 12:50:09,23650,CE,89.45,79.45,111.95,0.04999999999998295,23723.8,1,1.6500000000000057,2026-05-19 13:05:09,79.45,SL,-650.0,59.53,-709.53
q5_straddle_mom3,2026-05-19,2026-05-19 14:45:09,23600,CE,50.7,40.7,73.2,0.04999999999998295,23656.15,1,1.0499999999999972,2026-05-19 15:05:09,40.7,SL,-650.0,53.86,-703.86
q5_straddle_level,2026-05-20,2026-05-20 09:10:16,23400,CE,339.5,329.5,362.0,379.35,23457.25,1,464.5,2026-05-20 09:15:14,329.5,SL,-650.0,96.11,-746.11
q5_straddle_level,2026-05-20,2026-05-20 09:15:14,23400,CE,227.6,217.6,250.1,379.35,23429.7,1,438.75,2026-05-20 09:30:14,250.1,TP,1462.5,83.18,1379.32
q5_straddle_level,2026-05-20,2026-05-20 09:30:14,23450,CE,232.05,222.05,254.55,379.35,23476.6,1,451.95,2026-05-20 09:35:14,254.55,TP,1462.5,83.83,1378.67
q5_straddle_level,2026-05-20,2026-05-20 09:35:14,23450,CE,258.25,248.25,280.75,379.35,23519.8,1,460.05,2026-05-20 10:05:14,248.25,SL,-650.0,84.23,-734.23
q5_pcr_mom3,2026-05-20,2026-05-20 10:45:14,23500,CE,233.75,223.75,256.25,0.05138991087071798,23531.85,1,0.06389510080572491,2026-05-20 10:50:14,223.75,SL,-650.0,80.64,-730.64
q5_pcr_mom3,2026-05-20,2026-05-20 10:50:14,23450,CE,246.5,236.5,269.0,0.05138991087071798,23510.1,1,0.15428212162520927,2026-05-20 11:00:14,269.0,TP,1462.5,85.94,1376.56
