strategy,date,entry_dt,strike,side,entry_premium,sl_price,tp_price,threshold,spot_at_entry,lot_multiplier,feature_value,exit_dt,exit_premium,reason,pnl
q5_pcr_mom3,2026-05-13,2026-05-13 11:57:14,23500,CE,239.55,229.55,269.55,0.03601247740544622,23483.25,1,0.12052939488603776,2026-05-13 12:37:14,229.55,SL,-650.0
q5_pcr_mom3,2026-05-13,2026-05-13 12:37:14,23450,CE,248.0,238.0,278.0,0.03601247740544622,23451.15,1,0.187043131865114,2026-05-13 12:42:14,238.0,SL,-650.0
q5_straddle_level,2026-05-14,2026-05-14 09:10:08,23550,CE,176.55,166.55,206.55,358.5,23530.25,1,441.45,2026-05-14 09:20:06,206.55,TP,1950.0
q5_straddle_mom3,2026-05-14,2026-05-14 09:30:06,23600,CE,199.95,189.95,229.95,-0.25,23584.45,1,4.649999999999977,2026-05-14 09:35:06,189.95,SL,-650.0
q5_straddle_level,2026-05-14,2026-05-14 09:20:06,23550,CE,213.45,203.45,243.45,358.5,23561.2,1,394.79999999999995,2026-05-14 09:40:06,203.45,SL,-650.0
q5_straddle_level,2026-05-14,2026-05-14 09:40:06,23500,CE,217.35,207.35,247.35,358.5,23523.3,1,396.65,2026-05-14 09:50:06,207.35,SL,-650.0
q5_straddle_level,2026-05-14,2026-05-14 09:50:06,23500,CE,204.9,194.9,234.9,358.5,23492.65,1,399.35,2026-05-14 09:55:06,194.9,SL,-650.0
q5_pcr_mom3,2026-05-14,2026-05-14 10:35:06,23500,CE,213.35,203.35,243.35,0.03442171006915806,23522.2,1,0.05255460332243467,2026-05-14 10:45:06,203.35,SL,-650.0
q5_straddle_mom3,2026-05-14,2026-05-14 09:55:06,23450,CE,219.45,209.45,249.45,-0.25,23467.9,1,2.3000000000000114,2026-05-14 10:50:06,209.45,SL,-650.0
q5_pcr_mom3,2026-05-14,2026-05-14 10:45:06,23500,CE,191.9,181.9,221.9,0.03442171006915806,23491.15,1,0.07375873911874886,2026-05-14 10:50:06,181.9,SL,-650.0
q5_straddle_mom3,2026-05-14,2026-05-14 10:50:06,23450,CE,189.05,179.05,219.05,-0.25,23429.4,1,9.5,2026-05-14 11:20:06,219.05,TP,1950.0
q5_straddle_mom3,2026-05-14,2026-05-14 11:40:06,23650,CE,184.4,174.4,214.4,-0.25,23628.2,1,1.099999999999966,2026-05-14 11:45:06,214.4,TP,1950.0
q5_pcr_mom3,2026-05-14,2026-05-14 11:30:06,23550,CE,212.4,202.4,242.4,0.03442171006915806,23569.15,1,0.07617635402768574,2026-05-14 11:45:06,242.4,TP,1950.0
q5_pcr_mom3,2026-05-14,2026-05-14 11:45:06,23650,CE,216.55,206.55,246.55,0.03442171006915806,23672.55,1,0.10813866374029635,2026-05-14 12:05:06,206.55,SL,-650.0
q5_straddle_mom3,2026-05-15,2026-05-15 09:25:11,23750,CE,193.1,183.1,223.1,-0.44999999999998863,23768.85,1,7.099999999999909,2026-05-15 09:35:11,183.1,SL,-650.0
q5_pcr_mom3,2026-05-15,2026-05-15 09:30:11,23800,CE,164.5,154.5,194.5,0.03980038810291653,23784.6,1,0.10442473071261271,2026-05-15 09:35:11,154.5,SL,-650.0
q5_straddle_mom3,2026-05-15,2026-05-15 09:35:11,23750,CE,176.0,166.0,206.0,-0.44999999999998863,23743.7,1,4.199999999999932,2026-05-15 09:45:11,206.0,TP,1950.0
q5_straddle_mom3,2026-05-15,2026-05-15 09:45:11,23800,CE,179.0,169.0,209.0,-0.44999999999998863,23802.6,1,-0.3499999999999659,2026-05-15 10:10:11,169.0,SL,-650.0
q5_straddle_mom3,2026-05-15,2026-05-15 10:10:11,23800,CE,168.5,158.5,198.5,-0.44999999999998863,23789.6,1,1.6499999999999773,2026-05-15 11:05:11,158.5,SL,-650.0
q5_pcr_mom3,2026-05-15,2026-05-15 11:05:11,23800,CE,157.3,147.3,187.3,0.03980038810291653,23780.2,1,0.14244228088344957,2026-05-15 11:10:11,147.3,SL,-650.0
q5_pcr_mom3,2026-05-15,2026-05-15 11:10:11,23750,CE,154.6,144.6,184.6,0.03980038810291653,23735.65,1,0.12379706473578045,2026-05-15 11:30:11,144.6,SL,-650.0
q5_pcr_mom3,2026-05-15,2026-05-15 11:55:11,23700,CE,169.2,159.2,199.2,0.03980038810291653,23717.9,1,0.10815121249295478,2026-05-15 12:45:11,199.2,TP,1950.0
q5_straddle_mom3,2026-05-18,2026-05-18 09:30:05,23350,CE,153.15,143.15,183.15,-0.29999999999999716,23373.45,1,5.149999999999977,2026-05-18 09:40:05,143.15,SL,-650.0
q5_pcr_mom3,2026-05-18,2026-05-18 10:15:05,23350,CE,134.5,124.5,164.5,0.03980038810291653,23360.6,1,0.10185326839474618,2026-05-18 10:35:05,164.5,TP,1950.0
q5_pcr_mom3,2026-05-18,2026-05-18 10:35:05,23400,CE,136.25,126.25,166.25,0.03980038810291653,23417.75,1,0.06485612376961702,2026-05-18 10:50:05,126.25,SL,-650.0
